F,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Rushing.3,Scrimmage,Scrimmage.1,Scrimmage.2,Scrimmage.3
0,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
1,1,*2018,Arizona State,Pac-12,JR,WR,13,33,474,14.4,3,0,0,,0,33,474,14.4,3
2,2,*2019,Arizona State,Pac-12,SR,WR,12,65,1192,18.3,8,1,6,6.0,0,66,1198,18.2,8
3,3,Career,Arizona State,,,,,98,1666,17.0,11,1,6,6.0,0,99,1672,16.9,11
4,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
5,1,*2017,Florida State,ACC,FR,RB,13,16,116,7.3,1,194,1025,5.3,7,210,1141,5.4,8
6,2,2018,Florida State,ACC,SO,RB,12,23,145,6.3,2,161,706,4.4,6,184,851,4.6,8
7,3,*2019,Florida State,ACC,JR,RB,11,30,225,7.5,4,231,1144,5.0,14,261,1369,5.2,18
8,4,Career,Florida State,,,,,69,486,7.0,7,586,2875,4.9,27,655,3361,5.1,34
9,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
10,1,*2016,Michigan,Big Ten,FR,TE,2,2,18,9.0,1,0,0,,0,2,18,9.0,1
11,2,2018,UCLA,Pac-12,JR,TE,4,6,130,21.7,1,0,0,,0,6,130,21.7,1
12,3,2019,UCLA,Pac-12,JR,TE,12,44,641,14.6,4,0,0,,0,44,641,14.6,4
13,4,Career,Overall,,,,,52,789,15.2,6,0,0,,0,52,789,15.2,6
14,5,,Michigan,,,,,2,18,9.0,1,0,0,,0,2,18,9.0,1
15,6,,UCLA,,,,,50,771,15.4,5,0,0,,0,50,771,15.4,5
16,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
17,1,*2017,Arizona State,Pac-12,FR,RB,9,5,15,3.0,0,23,142,6.2,1,28,157,5.6,1
18,2,*2018,Arizona State,Pac-12,SO,RB,13,35,263,7.5,2,300,1642,5.5,16,335,1905,5.7,18
19,3,*2019,Arizona State,Pac-12,JR,RB,12,42,347,8.3,2,253,1083,4.3,10,295,1430,4.8,12
20,4,Career,Arizona State,,,,,82,625,7.6,4,576,2867,5.0,27,658,3492,5.3,31
21,0,Year,School,Conf,Class,Pos,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD
22,1,*2017,Kentucky,SEC,FR,WR,12,17,210,12.4,0,12,37,3.1,0,29,247,8.5,0
23,2,*2018,Kentucky,SEC,SO,WR,13,67,745,11.1,5,9,25,2.8,0,76,770,10.1,5
24,3,*2019,Kentucky,SEC,JR,WR,13,30,348,11.6,1,185,1468,7.9,13,215,1816,8.4,14
