,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Passing,Passing.1,Passing.2,Passing.3,Passing.4,Passing.5,Passing.6,Passing.7,Passing.8
0,Ryan Finley,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2014,Boise State,MWC,FR,QB,4,12,27,44.4,161,6.0,5.8,2,1,111.6
2,*2015,Boise State,MWC,SO,QB,3,46,70,65.7,485,6.9,4.6,1,4,117.2
3,*2016,North Carolina State,ACC,JR,QB,13,243,402,60.4,3059,7.6,7.6,18,8,135.2
4,*2017,North Carolina State,ACC,JR,QB,13,311,478,65.1,3514,7.4,7.5,17,6,136.0
5,*2018,North Carolina State,ACC,SR,QB,13,326,484,67.4,3928,8.1,8.1,25,11,148.0
6,Career,Overall,,,,,938,1461,64.2,11147,7.6,7.6,63,30,138.4
7,,Boise State,,,,,58,97,59.8,646,6.7,5.0,3,5,115.6
8,,North Carolina State,,,,,880,1364,64.5,10501,7.7,7.8,60,25,140.0
0,Will Grier,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2015,Florida,SEC,FR,QB,6,105,160,65.6,1202,7.5,7.9,10,3,145.6
2,*2017,West Virginia,Big 12,JR,QB,11,250,388,64.4,3490,9.0,9.4,34,12,162.7
3,*2018,West Virginia,Big 12,SR,QB,11,266,397,67.0,3864,9.7,10.7,37,8,175.5
4,Career,Overall,,,,,621,945,65.7,8556,9.1,9.7,81,23,165.2
5,,Florida,,,,,105,160,65.6,1202,7.5,7.9,10,3,145.6
6,,West Virginia,,,,,516,785,65.7,7354,9.4,10.0,71,20,169.2
0,Dwayne Haskins,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2017,Ohio State,Big Ten,FR,QB,8,40,57,70.2,565,9.9,10.5,4,1,173.1
2,*2018,Ohio State,Big Ten,SO,QB,14,373,533,70.0,4831,9.1,10.3,50,8,174.1
3,Career,Ohio State,,,,,413,590,70.0,5396,9.1,10.3,54,9,174.0
0,Daniel Jones,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1,*2015,Duke,ACC,FR,QB,,,,,,,,,,
2,2016,Duke,ACC,FR,QB,12,270,430,62.8,2836,6.6,6.4,16,9,126.3
3,*2017,Duke,ACC,SO,QB,13,257,453,56.7,2691,5.9,5.5,14,11,112.0
4,*2018,Duke,ACC,JR,QB,11,237,392,60.5,2674,6.8,6.9,22,9,131.7
5,Career,Duke,,,,,764,1275,59.9,8201,6.4,6.2,52,29,122.9
0,Drew Lock,School,Conf,Class,Pos,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
